-2.32457E-02 -2.37412E-02 -1.42522E+01 -1.35496E+01
-2.37412E-02 -2.42183E-02 -1.35496E+01 -1.28526E+01
-2.42183E-02 -2.46613E-02 -1.28526E+01 -1.21615E+01
-2.46613E-02 -2.50615E-02 -1.21615E+01 -1.14763E+01
-2.50615E-02 -2.54057E-02 -1.14763E+01 -1.07971E+01
-2.54057E-02 -2.56787E-02 -1.07971E+01 -1.01240E+01
-2.56787E-02 -2.58623E-02 -1.01240E+01 -9.45709E+00
-2.58623E-02 -2.59347E-02 -9.45709E+00 -8.79637E+00
-2.59347E-02 -2.58697E-02 -8.79637E+00 -8.14187E+00
-2.58697E-02 -2.56362E-02 -8.14187E+00 -7.49358E+00
-2.56362E-02 -2.51970E-02 -7.49358E+00 -6.85144E+00
-2.51970E-02 -2.45075E-02 -6.85144E+00 -6.21534E+00
-2.45075E-02 -2.35146E-02 -6.21534E+00 -5.58513E+00
-2.35146E-02 -2.21544E-02 -5.58513E+00 -4.96057E+00
-2.21544E-02 -2.03503E-02 -4.96057E+00 -4.34132E+00
-2.03503E-02 -1.80104E-02 -4.34132E+00 -3.72695E+00
-1.80104E-02 -1.50236E-02 -3.72695E+00 -3.11691E+00
-1.50236E-02 -1.12556E-02 -3.11691E+00 -2.51047E+00
-1.12556E-02 -6.54378E-03 -2.51047E+00 -1.90674E+00
-6.54378E-03 -6.90518E-04 -1.90674E+00 -1.30457E+00
-6.90518E-04  6.54438E-03 -1.30457E+00 -7.02574E-01
 6.54438E-03  1.54523E-02 -7.02574E-01 -9.90038E-02
 1.54523E-02  2.63848E-02 -9.90038E-02  5.08275E-01
 2.63848E-02  3.97599E-02  5.08275E-01  1.12189E+00
 3.97599E-02  5.60625E-02  1.12189E+00  1.74504E+00
 5.60625E-02  7.58259E-02  1.74504E+00  2.38165E+00
 7.58259E-02  9.95773E-02  2.38165E+00  3.03645E+00
 9.95773E-02  1.27708E-01  3.03645E+00  3.71516E+00
 1.27708E-01  1.60207E-01  3.71516E+00  4.42451E+00
 1.60207E-01  1.96165E-01  4.42451E+00  5.17232E+00
 1.96165E-01  2.32939E-01  5.17232E+00  5.96720E+00
 2.32939E-01  2.64985E-01  5.96720E+00  6.81799E+00
 2.64985E-01  2.82691E-01  6.81799E+00  7.73238E+00
 2.82691E-01  2.72481E-01  7.73238E+00  8.71461E+00
 2.72481E-01  2.20588E-01  8.71461E+00  9.76224E+00
 2.20588E-01  1.23271E-01  9.76224E+00  1.08628E+01
 1.23271E-01  5.64105E-05  1.08628E+01  1.19930E+01
 5.64105E-05 -1.01669E-01  1.19930E+01  1.31231E+01
-1.01669E-01 -1.45351E-01  1.31231E+01  1.42289E+01
-1.45351E-01 -1.12670E-01  1.42289E+01  1.52998E+01
-1.12670E-01 -1.25510E-01  1.52998E+01  1.63436E+01
-1.25510E-01  4.14471E-02  1.63436E+01  1.73573E+01
 4.14471E-02 -2.07236E-02  1.73573E+01  1.83810E+01
 1.18229E-02 -2.36458E-02 -2.55112E+01 -2.47319E+01
-2.36458E-02 -1.46794E-02 -2.47319E+01 -2.39583E+01
-1.46794E-02 -1.76226E-02 -2.39583E+01 -2.31882E+01
-1.76226E-02 -1.73748E-02 -2.31882E+01 -2.24223E+01
-1.73748E-02 -1.79780E-02 -2.24223E+01 -2.16606E+01
-1.79780E-02 -1.83439E-02 -2.16606E+01 -2.09032E+01
-1.83439E-02 -1.87580E-02 -2.09032E+01 -2.01502E+01
-1.87580E-02 -1.91359E-02 -2.01502E+01 -1.94017E+01
-1.91359E-02 -1.94907E-02 -1.94017E+01 -1.86579E+01
-1.94907E-02 -1.98074E-02 -1.86579E+01 -1.79186E+01
-1.98074E-02 -2.00758E-02 -1.79186E+01 -1.71842E+01
-2.00758E-02 -2.02817E-02 -1.71842E+01 -1.64545E+01
-2.02817E-02 -2.04080E-02 -1.64545E+01 -1.57298E+01
-2.04080E-02 -2.04344E-02 -1.57298E+01 -1.50099E+01
-2.04344E-02 -2.03360E-02 -1.50099E+01 -1.42949E+01
-2.03360E-02 -2.00828E-02 -1.42949E+01 -1.35848E+01
-2.00828E-02 -1.96388E-02 -1.35848E+01 -1.28796E+01
-1.96388E-02 -1.89603E-02 -1.28796E+01 -1.21790E+01
-1.89603E-02 -1.79946E-02 -1.21790E+01 -1.14830E+01
-1.79946E-02 -1.66781E-02 -1.14830E+01 -1.07913E+01
-1.66781E-02 -1.49334E-02 -1.07913E+01 -1.01036E+01
-1.49334E-02 -1.26670E-02 -1.01036E+01 -9.41952E+00
-1.26670E-02 -9.76488E-03 -9.41952E+00 -8.73845E+00
-9.76488E-03 -6.08817E-03 -8.73845E+00 -8.05974E+00
-6.08817E-03 -1.46688E-03 -8.05974E+00 -7.38248E+00
-1.46688E-03  4.30758E-03 -7.38248E+00 -6.70557E+00
 4.30758E-03  1.14919E-02 -6.70557E+00 -6.02763E+00
 1.14919E-02  2.04026E-02 -6.02763E+00 -5.34694E+00
 2.04026E-02  3.14302E-02 -5.34694E+00 -4.66134E+00
 3.14302E-02  4.50547E-02 -4.66134E+00 -3.96821E+00
 4.50547E-02  6.18616E-02 -3.96821E+00 -3.26426E+00
 6.18616E-02  8.25526E-02 -3.26426E+00 -2.54546E+00
 8.25526E-02  1.07939E-01 -2.54546E+00 -1.80685E+00
 1.07939E-01  1.38897E-01 -1.80685E+00 -1.04234E+00
 1.38897E-01  1.76234E-01 -1.04234E+00 -2.44487E-01
 1.76234E-01  2.20387E-01 -2.44487E-01  5.95659E-01
 2.20387E-01  2.70814E-01  5.95659E-01  1.48870E+00
 2.70814E-01  3.24880E-01  1.48870E+00  2.44673E+00
 3.24880E-01  3.76096E-01  2.44673E+00  3.48274E+00
 3.76096E-01  4.11895E-01  3.48274E+00  4.60901E+00
 4.11895E-01  4.12194E-01  4.60901E+00  5.83413E+00
 4.12194E-01  3.52176E-01  5.83413E+00  7.15818E+00
 3.52176E-01  2.14860E-01  7.15818E+00  8.56675E+00
 2.14860E-01  1.56932E-02  8.56675E+00  1.00269E+01
 1.56932E-02 -1.84529E-01  1.00269E+01  1.14908E+01
-1.84529E-01 -3.17740E-01  1.14908E+01  1.29104E+01
-3.17740E-01 -3.51796E-01  1.29104E+01  1.42538E+01
-3.51796E-01 -2.86379E-01  1.42538E+01  1.55127E+01
-2.86379E-01 -2.68214E-01  1.55127E+01  1.67029E+01
-2.68214E-01  1.34107E-01  1.67029E+01  1.78287E+01
